nconf;datareg;codall;regione;provincia;comune;Sezione ;specie;materiale;ceppo;antibiotico;ris
85.169;27/03/2018;039BG161;Lombardia;BG;Val Brembilla;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;LATTE;Staphylococcus aureus;Rifampicina;S
85.169;27/03/2018;039BG161;Lombardia;BG;Val Brembilla;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;LATTE;Staphylococcus aureus;Sulfisoxazolo;S
85.169;27/03/2018;039BG161;Lombardia;BG;Val Brembilla;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;LATTE;Staphylococcus aureus;Tetraciclina;R
85.169;27/03/2018;039BG161;Lombardia;BG;Val Brembilla;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;LATTE;Staphylococcus aureus;Tilmicosina;S
85.169;27/03/2018;039BG161;Lombardia;BG;Val Brembilla;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;LATTE;Staphylococcus aureus;Trimetoprim + Sulfonamidi;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Amoxicillina + Ac.Clavulanico;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Ampicillina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Cefalotina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Ceftiofur;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Enrofloxacin;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Eritromicina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Kanamicina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Oxacillina;R
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Penicillina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Pirlimicina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Rifampicina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Sulfisoxazolo;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Tetraciclina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Tilmicosina;S
92.203;04/04/2018;199bg015;Lombardia;BG;Serina;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Staphylococcus aureus;Trimetoprim + Sulfonamidi;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Amikacina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Amoxicillina + Ac.Clavulanico;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Ampicillina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Cefazolina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Cefpodoxime;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Clindamicina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Cloramfenicolo;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Enrofloxacin;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Eritromicina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Gentamicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Kanamicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Nitrofurantoina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Penicillina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Rifampicina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Tetraciclina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Tilmicosina;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Gen. proteus;Trimetoprim + Sulfonamidi;R
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Amikacina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Amoxicillina + Ac.Clavulanico;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Ampicillina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Cefazolina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Cefpodoxime;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Clindamicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Cloramfenicolo;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Enrofloxacin;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Eritromicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Gentamicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Kanamicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Nitrofurantoina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Penicillina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Rifampicina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Tetraciclina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Tilmicosina;S
92.409;04/04/2018;000IX000;Lombardia;BG;Curno;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE CUTANEO;Staphylococcus aureus;Trimetoprim + Sulfonamidi;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Amikacina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Amoxicillina + Ac.Clavulanico;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Ampicillina;R
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Cefazolina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Cefpodoxime;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Clindamicina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Cloramfenicolo;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Enrofloxacin;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Eritromicina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Gentamicina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Kanamicina;R
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Nitrofurantoina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Penicillina;R
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Rifampicina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Tetraciclina;R
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Tilmicosina;S
93.938;05/04/2018;000IX000;Lombardia;BG;Mapello;Sezione di Bergamo - Laboratorio Diagnostica Generale;CANE;TAMPONE AURICOLARE;Staphylococcus aureus;Trimetoprim + Sulfonamidi;S
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Amoxicillina + Ac.Clavulanico;I
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Ampicillina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Cefazolina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Ceftiofur;S
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Enrofloxacin;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Eritromicina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Kanamicina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Oxacillina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Penicillina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Pirlimicina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Rifampicina;I
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Sulfisoxazolo;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Tetraciclina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Tilmicosina;R
98.176;10/04/2018;038BG008;Lombardia;BG;Brembate di Sopra;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;LATTE;Escherichia coli;Trimetoprim + Sulfonamidi;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Acido Nalidixico;I
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Amoxicillina + Ac.Clavulanico;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Ampicillina;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Cefalexina;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Cefazolina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Ceftiofur;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Colistina;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Enrofloxacin;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Eritromicina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Florfenicolo;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Gentamicina;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Kanamicina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Oxacillina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Penicillina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Sulfadiazina;R
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Tetraciclina;I
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Tilmicosina;S
100.378;11/04/2018;147BS060;Lombardia;BS;Poncarale;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA; Ceppo non identificabile;Trimetoprim + Sulfonamidi;I
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Acido Nalidixico;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Amoxicillina + Ac.Clavulanico;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Ampicillina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefalexina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Cefazolina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Ceftiofur;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Colistina;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Enrofloxacin;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Eritromicina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Florfenicolo;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Gentamicina;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Kanamicina;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Oxacillina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Penicillina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Sulfadiazina;S
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Tetraciclina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Tilmicosina;R
101.346;12/04/2018;040BG025;Lombardia;BG;Brignano Gera d'Adda;Sezione di Bergamo - Laboratorio Diagnostica Generale;BOVINO;ANIMALE VIVO/CARCASSA;Escherichia coli;Trimetoprim + Sulfonamidi;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Acido Nalidixico;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Amoxicillina + Ac.Clavulanico;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Ampicillina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Cefalexina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Cefazolina;R
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Ceftiofur;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Colistina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Enrofloxacin;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Eritromicina;R
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Florfenicolo;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Gentamicina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Kanamicina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Oxacillina;R
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Penicillina;R
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Sulfadiazina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Tetraciclina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Tilmicosina;S
101.844;12/04/2018;;Lombardia;BG;Bossico;Sezione di Bergamo - Laboratorio Diagnostica Generale;OVINO - AGNELLO;ANIMALE VIVO/CARCASSA;Pasteurella haemolytica ureae;Trimetoprim + Sulfonamidi;S
105.197;17/04/2018;133BS213;Lombardia;BS;Palazzolo Sull'Oglio;Sezione di Bergamo - Laboratorio Diagnostica Generale;CAPRA;ANIMALE VIVO/CARCASSA;Escherichia coli;Acido Nalidixico;R
